p_val	cor	PC	city	sig_sym	R2
0.238849716898636	-0.568763727756057	1	Broggingen	NS	0.323492178010966
0.0145989914161834	-0.899653231223006	2	Broggingen	S	0.809375936449995
0.00195972799699119	0.963633572187122	3	Broggingen	S	0.928589661446113
0.017111370926724	-0.891202696787981	1	Munich	S	0.79424224676217
0.0471613908802077	-0.817015770755647	2	Munich	S	0.667514769663444
0.05474413103358	0.802337840655312	3	Munich	NS	0.643746010547428
0.126380496620098	-0.873619503379902	1	Akaa	NS	0.763211036685746
0.0211775386492383	-0.978822461350762	2	Akaa	S	0.958093410844763
0.042349020984036	0.957650979015964	3	Akaa	S	0.917095397610234
2.0310944514454e-05	0.905688233407345	1	Linvilla	S	0.820271176132517
0.000185383577528528	0.85647535354829	2	Linvilla	S	0.733550031235668
0.0077332258961139	0.699912482489786	3	Linvilla	S	0.489877483145015
0.0670956691858434	-0.599290497848935	1	Yesiloz	NS	0.359149100812024
1.99410417428983e-06	-0.973810870665107	2	Yesiloz	S	0.948307611825535
0.00019441452696163	0.916243048827472	3	Yesiloz	S	0.83950132452466
0.00127708726914695	-0.81381555249789	1	Odessa	S	0.662295753487446
0.144886086245753	0.447254788935479	2	Odessa	NS	0.20003684622572
0.000597626765844147	0.841627747087786	3	Odessa	S	0.708337264668063
0.0025077370675303	-0.515917831459307	1	Charlottesville	S	0.266171208817674
0.000221374249718582	-0.6082674365699	2	Charlottesville	S	0.369989274391317
0.0156715856961612	-0.423692976636905	3	Charlottesville	S	0.179515738451441
0.310479305198442	0.501798331739771	1	Cross Plains	NS	0.251801565736817
0.0122491751217147	0.908218553231764	2	Cross Plains	S	0.824860940434399
0.00803490530531762	0.925890074551862	3	Cross Plains	S	0.857272430153653
