sampleId	In(2L)t
VA_ch_16_m07d08	0.309278350515464
VA_ch_16_m09d02	0.239583333333333
VA_ch_16_m09d16	0.135135135135135
VA_ch_16_m10d14	0.132075471698113
VA_ch_16_m10d28	0.152046783625731
VA_ch_16_m11d11	0.133587786259542
VA_ch_16_m12d03	0.183098591549296
VA_ch_17_m06d22	0.20059880239521
VA_ch_17_m07d07	0.206185567010309
VA_ch_17_m07d20	0.0933333333333333
VA_ch_17_m08d17	0.173441734417344
VA_ch_17_m08d31	0.115740740740741
VA_ch_17_m09d14	0.245901639344262
VA_ch_17_m09d28	0.283018867924528
VA_ch_17_m10d12	0.282051282051282
VA_ch_17_m10d26	0.197530864197531
VA_ch_17_m11d09	0.25
VA_ch_18_m07d12	0.129186602870813
VA_ch_18_m07d26	0.253731343283582
VA_ch_18_m08d09	0.103448275862069
VA_ch_18_m08d23	0.169230769230769
VA_ch_18_m09d06	0.136986301369863
VA_ch_18_m09d20	0.269230769230769
VA_ch_18_m10d04	0.246753246753247
VA_ch_18_m10d18	0.36986301369863
VA_ch_18_m10d25	0.166666666666667
VA_ch_18_m11d01	0.256410256410256
