"auto","sampleId","propSimNorm"
FALSE,"VA_ch_16_m06d24",0.0104275358101563
TRUE,"VA_ch_16_m06d24",0.00428190095887655
FALSE,"VA_ch_16_m07d08",0.00953095653586161
TRUE,"VA_ch_16_m07d08",0.0032641261047879
FALSE,"VA_ch_16_m07d22",0.0105963309105016
TRUE,"VA_ch_16_m07d22",0.00426546051134976
FALSE,"VA_ch_16_m08d19",0.00948478530608948
TRUE,"VA_ch_16_m08d19",0.00325942308655554
FALSE,"VA_ch_16_m09d02",0.0101128827556062
TRUE,"VA_ch_16_m09d02",0.00391290524803639
FALSE,"VA_ch_16_m09d16",0.0101359062166565
TRUE,"VA_ch_16_m09d16",0.00384771227651153
FALSE,"VA_ch_16_m10d03",0.0110006069374721
TRUE,"VA_ch_16_m10d03",0.00479544869419649
FALSE,"VA_ch_16_m10d14",0.00985160943630286
TRUE,"VA_ch_16_m10d14",0.00368158006860776
FALSE,"VA_ch_16_m10d28",0.0103322060778532
TRUE,"VA_ch_16_m10d28",0.00390957091781511
FALSE,"VA_ch_16_m11d11",0.0131011247042026
TRUE,"VA_ch_16_m11d11",0.00517104287210403
FALSE,"VA_ch_16_m12d03",0.00990835792659196
TRUE,"VA_ch_16_m12d03",0.00369104835133693
FALSE,"VA_ch_17_m06d22",0.011124273359572
TRUE,"VA_ch_17_m06d22",0.00410844042459192
FALSE,"VA_ch_17_m07d07",0.0126769775433644
TRUE,"VA_ch_17_m07d07",0.00531292719532698
FALSE,"VA_ch_17_m07d20",0.0117162937274803
TRUE,"VA_ch_17_m07d20",0.00466043826301158
FALSE,"VA_ch_17_m08d03",0.010390358082824
TRUE,"VA_ch_17_m08d03",0.00425591680834674
FALSE,"VA_ch_17_m08d17",0.00991974153161535
TRUE,"VA_ch_17_m08d17",0.00355788723385836
FALSE,"VA_ch_17_m08d31",0.00955510396104839
TRUE,"VA_ch_17_m08d31",0.00346795969449105
FALSE,"VA_ch_17_m09d14",0.00976540241505474
TRUE,"VA_ch_17_m09d14",0.00350313513134364
FALSE,"VA_ch_17_m09d28",0.00985952934281057
TRUE,"VA_ch_17_m09d28",0.00354441897139712
FALSE,"VA_ch_17_m10d12",0.00985312811634697
TRUE,"VA_ch_17_m10d12",0.00341947973779448
FALSE,"VA_ch_17_m10d26",0.0107234604766842
TRUE,"VA_ch_17_m10d26",0.00444117287323219
FALSE,"VA_ch_17_m11d09",0.0112737359529747
TRUE,"VA_ch_17_m11d09",0.00448390419309118
FALSE,"VA_ch_17_m11d24",0.00940098467434984
TRUE,"VA_ch_17_m11d24",0.00325086217210287
FALSE,"VA_ch_17_m12d07",0.0100393320231517
TRUE,"VA_ch_17_m12d07",0.00414008357058252
FALSE,"VA_ch_18_m06d28",0.0111662387269478
TRUE,"VA_ch_18_m06d28",0.00447308135039582
FALSE,"VA_ch_18_m07d05",0.0103736194057656
TRUE,"VA_ch_18_m07d05",0.00379997005221401
FALSE,"VA_ch_18_m07d12",0.00962400933077322
TRUE,"VA_ch_18_m07d12",0.00334955766122707
FALSE,"VA_ch_18_m07d26",0.00967741858789131
TRUE,"VA_ch_18_m07d26",0.00341230176572428
FALSE,"VA_ch_18_m08d09",0.0105315376057114
TRUE,"VA_ch_18_m08d09",0.00406218486394521
FALSE,"VA_ch_18_m08d23",0.011728092991296
TRUE,"VA_ch_18_m08d23",0.00462031350026111
FALSE,"VA_ch_18_m09d06",0.00994349947807271
TRUE,"VA_ch_18_m09d06",0.00365706584023747
FALSE,"VA_ch_18_m09d20",0.0114431977243243
TRUE,"VA_ch_18_m09d20",0.00485828489305664
FALSE,"VA_ch_18_m10d04",0.00928974444543604
TRUE,"VA_ch_18_m10d04",0.0033540168709062
FALSE,"VA_ch_18_m10d18",0.00942111646757032
TRUE,"VA_ch_18_m10d18",0.00330523458648313
FALSE,"VA_ch_18_m10d25",0.00946958417221219
TRUE,"VA_ch_18_m10d25",0.00344963654039626
FALSE,"VA_ch_18_m11d01",0.00944111293128336
TRUE,"VA_ch_18_m11d01",0.00321544085016606
FALSE,"VA_ch_18_m11d29",0.0116104032198392
TRUE,"VA_ch_18_m11d29",0.00526739475316412
